,source,target,total_freq,2008-10-01,2008-10-15,2008-10-29,2008-11-12,2008-11-26,2008-12-10,2008-12-24,2009-01-07,2009-01-21,2009-02-04,2009-02-18,2009-03-04,2009-03-18,2009-04-01,2009-04-15,2009-04-29,2009-05-13,2009-05-27,2009-06-10,2009-06-24
381,75.0,68.0,18,0,0,0,0,0,0,0,0,0,0,2,3,6,7,7,8,16,18,18,18
382,76.0,29.0,14,0,0,0,0,0,0,0,0,13,14,14,14,14,14,14,14,14,14,14,14
383,76.0,43.0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,8
384,76.0,59.0,6,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,6,6,6,6,6
385,76.0,77.0,83,0,0,0,0,0,0,0,0,50,56,63,72,72,76,76,78,78,83,83,83
386,77.0,29.0,7,0,0,0,0,0,0,0,0,7,7,7,7,7,7,7,7,7,7,7,7
387,77.0,32.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
388,77.0,36.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
389,77.0,40.0,3,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3,3,3,3,3,3
390,77.0,41.0,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
391,77.0,46.0,2,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2,2
392,77.0,52.0,2,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
393,77.0,62.0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
394,77.0,71.0,80,0,0,0,0,0,0,0,5,24,37,47,56,72,77,80,80,80,80,80,80
395,77.0,76.0,51,0,0,0,0,0,0,0,0,36,37,41,50,51,51,51,51,51,51,51,51
396,79.0,6.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
397,79.0,23.0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,2
398,79.0,32.0,5,0,0,0,0,0,0,0,0,0,0,0,1,5,5,5,5,5,5,5,5
399,79.0,38.0,7,0,0,0,0,0,0,0,0,0,0,6,7,7,7,7,7,7,7,7,7
400,79.0,40.0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,4,4,4,4,4
401,79.0,45.0,12,0,0,0,0,0,0,0,0,0,0,0,0,12,12,12,12,12,12,12,12
402,79.0,52.0,2,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2,2
403,79.0,62.0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
404,79.0,65.0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
405,79.0,68.0,8,0,0,0,0,0,0,0,0,0,0,0,1,8,8,8,8,8,8,8,8
406,80.0,44.0,24,0,0,0,0,0,0,0,0,0,4,10,14,18,21,23,24,24,24,24,24
